PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260626;06;2026;8623826;1;3;1;70;;2;36.875978381;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623827;1;2;1;70;;2;43.983790738;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623827;1;4;1;70;;2;43.983790738;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623830;1;3;1;70;;2;37.722410077;08;;1;28;1;;;;48;2000000;1;7;1;1;1;7;2;2;;2;;8160;9412;56;5611
20260626;06;2026;8623831;1;1;1;70;;2;24.495725664;08;1;;;;;;;;;1;480;1;5;2;10;2;3;;2;;.;5412;84;8423
20260626;06;2026;8623831;1;2;1;70;;2;24.495725664;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623832;1;2;1;70;;2;47.030608677;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623832;1;3;1;70;;2;47.030608677;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623833;1;2;1;70;;2;24.725895589;08;1;;;;;1;;40;1000000;1;1;2;6;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623833;1;3;1;70;;2;24.725895589;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623833;1;4;1;70;;2;24.725895589;08;;1;8;1;;;;44;1750000;2;;;;;;;2;;2;;9112;;;
20260626;06;2026;8623838;1;1;1;70;;2;20.278034141;08;1;;;;;;;;;1;144;1;5;1;9;2;3;;2;;.;5221;22;2229
20260626;06;2026;8623838;1;2;1;70;;2;20.278034141;08;1;;;;;;;;;1;196;2;4;4;2;2;2;;2;;.;7231;45;4520
20260626;06;2026;8623838;1;3;1;70;;2;20.278034141;08;;1;32;1;;;;45;1500000;2;;;;;;;2;;2;;5131;;;
