PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20260626;06;2026;8623826;1;1;1;50;;2;36.875978381;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623826;1;2;1;50;;2;36.875978381;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623826;1;3;1;50;;2;36.875978381;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623827;1;1;1;50;;2;43.983790738;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623827;1;2;1;50;;2;43.983790738;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623827;1;3;1;50;;2;43.983790738;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623827;1;4;1;50;;2;43.983790738;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623828;1;1;1;50;;2;32.931768468;08;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623829;1;1;1;50;;2;33.822659709;08;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623830;1;1;1;50;;2;37.722410077;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623830;1;2;1;50;;2;37.722410077;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623830;1;3;1;50;;2;37.722410077;08;1;;1;4;;;2;2;;;;2;1;1;1;1;;;;;;;;;;;;;;1
20260626;06;2026;8623830;1;4;1;50;;2;37.722410077;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623831;1;1;1;50;;2;24.495725664;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623831;1;2;1;50;;2;24.495725664;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623832;1;1;1;50;;2;47.030608677;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623832;1;2;1;50;;2;47.030608677;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623832;1;3;1;50;;2;47.030608677;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623833;1;1;1;50;;2;24.725895589;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623833;1;2;1;50;;2;24.725895589;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;7;;1;2;;;
20260626;06;2026;8623833;1;3;1;50;;2;24.725895589;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623833;1;4;1;50;;2;24.725895589;08;1;;1;2;;;2;2;;;;2;1;;;1;;;;;;;;;;;;;;1
20260626;06;2026;8623834;1;1;1;50;;2;36.115726059;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623834;1;2;1;50;;2;36.115726059;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623835;1;1;1;50;;2;63.532040701;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623836;1;1;1;50;;2;63.532040701;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623837;1;1;1;50;;2;96.733920077;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623838;1;1;1;50;;2;20.278034141;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623838;1;2;1;50;;2;20.278034141;08;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623838;1;3;1;50;;2;20.278034141;08;1;;1;4;;;2;2;;;;2;2;;;;;;;;;;1;5;;2;;1;8;1
20260626;06;2026;8623839;1;1;1;50;;2;77.96235583;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623839;1;2;1;50;;2;77.96235583;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623840;1;1;1;50;;2;96.733920077;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623841;1;1;1;50;;2;83.437196657;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;10;;;;;;
20260626;06;2026;8623841;1;2;1;50;;2;83.437196657;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623841;1;3;1;50;;2;83.437196657;08;1;;1;3;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623841;1;5;1;50;;2;83.437196657;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623841;1;6;1;50;;2;83.437196657;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623841;1;7;1;50;;2;83.437196657;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623842;1;1;1;50;;2;63.11057585;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;11;;;;;;
20260626;06;2026;8623843;1;1;1;50;;2;67.839306479;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623843;1;2;1;50;;2;67.839306479;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623844;1;1;1;50;;2;79.21432941;08;;1;1;6;DESCANSAR POR ENFERMEDAD;;2;2;;;;2;2;;;;;;;;;;1;11;;;;;;
20260626;06;2026;8623844;1;2;1;50;;2;79.21432941;08;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;10;;;;;;
20260626;06;2026;8623845;1;1;1;50;;2;83.612948305;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623845;1;2;1;50;;2;83.612948305;08;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623846;1;1;1;50;;2;257.40293767;08;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
