PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20250626;06;2025;8238975;1;2;1;70;;2;54.337977713;08;1;;;;;;;;;1;;24;3;4;4;1;2;2;;2;;.;6112;01;0123
20250626;06;2025;8238978;1;1;1;70;;2;46.600283709;08;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;9211;01;0161
20250626;06;2025;8238980;1;2;1;70;;2;94.86443418;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238981;1;2;1;70;;2;37.714778906;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238983;1;2;1;70;;2;68.734184551;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238984;1;1;1;70;;1;2162.2546793;08;1;;;;;;;;;1;;12;0;8;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8238987;1;2;1;70;;1;465.55320078;70;1;;;;;;;;;1;;360;0;3;3;1;2;2;;2;;.;5311;97;9700
20250626;06;2025;8238991;1;2;1;70;;1;778.96716365;70;1;;;;;;;;;1;;48;0;3;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8238992;1;2;1;70;;1;850.7964893;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238992;1;4;1;70;;1;850.7964893;70;;1;20;1;;;;48;1423500;1;;24;0;8;1;6;2;2;;2;;3257;3257;88;8899
20250626;06;2025;8238994;1;2;1;70;;1;1133.9661728;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238994;1;3;1;70;;1;1133.9661728;70;;1;1;1;;;;40;1000000;2;;;;;;;;2;;2;;5141;;;
20250626;06;2025;8238995;1;1;1;70;;1;867.58380236;70;;1;16;1;;;;48;800000;1;;5;0;8;1;2;2;2;;2;;5223;5223;47;4771
20250626;06;2025;8238997;1;1;1;70;;1;1326.8546836;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238997;1;4;1;70;;1;1326.8546836;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8238998;1;2;1;70;;1;1169.8945021;70;1;;;;;;;;;1;;5;0;2;4;1;2;2;;2;;.;2359;85;8559
20250626;06;2025;8238998;1;3;1;70;;1;1169.8945021;70;1;;;;;;;;;1;;108;0;8;1;10;2;2;;2;;.;5120;56;5629
20250626;06;2025;8238999;1;1;1;70;;1;745.04100876;70;;1;6;1;;;;40;3000000;1;;60;0;8;2;10;2;2;;2;;2511;2330;85;8530
20250626;06;2025;8239000;1;3;1;70;;1;1234.9023695;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239001;1;1;1;70;;1;1144.6308769;70;1;;;;;;;;;1;;120;0;4;3;2;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239001;1;3;1;70;;1;1144.6308769;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239001;1;8;1;70;;1;1144.6308769;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239002;1;1;1;70;;1;726.61683129;70;1;;;;;2;5;;1423500;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239002;1;2;1;70;;1;726.61683129;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239003;1;3;1;70;;1;795.05588882;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239005;1;2;1;70;;1;634.57673264;70;1;;;;;;;;;1;;48;0;4;4;1;2;2;;2;;.;8332;49;4923
20250626;06;2025;8239006;1;1;1;70;;1;1047.4579035;70;1;;;;;1;;40;1000000;1;;5;0;8;4;1;2;2;;2;;.;3432;82;8230
20250626;06;2025;8239007;1;2;1;70;;1;631.60935069;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239009;1;1;1;70;;1;993.67430212;70;1;;;;;;;;;1;;24;0;8;1;3;2;2;;2;;.;5131;56;5613
20250626;06;2025;8239012;1;1;1;70;;1;886.20075147;70;1;;;;;1;;50;1423500;1;;6;0;3;4;2;2;2;;2;;.;9411;56;5619
20250626;06;2025;8239012;1;3;1;70;;1;886.20075147;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239013;1;2;1;70;;1;553.90634509;70;1;;;;;2;5;;1000000;1;;24;0;3;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239013;1;3;1;70;;1;553.90634509;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239014;1;1;1;70;;1;737.16916951;70;1;;;;;;;;;1;;24;0;3;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239014;1;4;1;70;;1;737.16916951;70;1;;;;;;;;;1;;12;0;3;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239014;1;6;1;70;;1;737.16916951;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239015;1;2;1;70;;1;536.51626866;70;1;;;;;1;;40;900000;1;;17;0;3;4;1;2;2;;2;;.;2359;85;8559
20250626;06;2025;8239016;1;1;1;70;;1;661.78708263;70;1;;;;;;;;;1;;24;0;3;1;5;2;2;;2;;.;5223;47;4711
20250626;06;2025;8239017;1;3;1;70;;1;529.3026129;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239018;1;2;1;70;;1;624.83584462;70;1;;;;;;;;;1;;24;0;4;1;4;2;2;;2;;.;5242;47;4711
20250626;06;2025;8239019;1;2;1;70;;1;368.55048526;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239020;1;2;1;70;;1;661.78708263;70;1;;;;;;;;;1;;48;0;6;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239021;1;2;1;70;;1;583.6891186;70;1;;;;;2;5;;800000;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239021;1;3;1;70;;1;583.6891186;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239022;1;2;1;70;;1;513.29118138;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239023;1;2;1;70;;1;974.64242989;70;1;;;;;;;;;1;;280;0;8;1;4;2;2;;2;;.;2342;85;8512
20250626;06;2025;8239023;1;3;1;70;;1;974.64242989;70;1;;;;;2;5;;1423500;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239023;1;4;1;70;;1;974.64242989;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239024;1;1;1;70;;1;1225.0504606;70;1;;;;;2;5;;800000;1;;4;0;4;4;1;2;2;;2;;.;2652;90;9007
20250626;06;2025;8239025;1;2;1;70;;1;891.00547981;70;1;;;;;;;;;1;;96;0;4;3;1;2;2;;2;;.;9111;97;9700
20250626;06;2025;8239027;1;4;1;70;;1;343.19648595;70;;1;12;1;;;;48;1423500;2;;;;;;;;2;;2;;9112;;;
20250626;06;2025;8239028;1;1;1;70;;1;1225.0504606;70;1;;;;;2;5;;1400000;2;;;;;;;;2;;2;;.;.;;.
20250626;06;2025;8239029;1;2;1;70;;1;2005.62252;70;1;;;;;;;;;1;;24;0;3;1;9;2;2;;2;;.;3322;61;6120
20250626;06;2025;8239030;1;3;1;70;;1;607.60007877;70;;1;2;3;;;;48;600000;1;;12;0;7;1;2;2;2;;2;;9111;4211;64;6499
20250626;06;2025;8239032;1;3;1;70;;1;385.41840134;70;;1;16;1;;;;48;2000000;1;;18;0;8;1;6;2;2;;2;;2341;4110;88;8899
20250626;06;2025;8239033;1;1;1;70;;1;430.1968018;70;;1;12;3;;;;48;500000;1;;12;0;4;3;1;2;2;;2;;9111;9111;97;9700
20250626;06;2025;8239034;1;4;1;70;;1;584.31809342;70;;1;16;4;;;;40;600000;1;;4;0;6;4;1;2;2;;2;;9211;9211;01;0161
20250626;06;2025;8239034;1;5;1;70;;1;584.31809342;70;;1;12;1;;;;48;650000;2;;;;;;;;2;;2;;9510;;;
20250626;06;2025;8239035;1;1;1;70;;1;374.63585032;70;1;;;;;;;;;1;;2;0;7;1;2;2;2;;2;;.;5223;47;4711
