PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;PT;P6016;P3271;P6040;P6030S1;P6030S3;P6050;P6083;P6083S1;P6081;P6081S1;P2057;P2059;P2061;P6080;P6080S1;P6080S1A1;P6070;P6071;P6071S1;P6090;P6100;P6110;P6120;P1906S1;P1906S2;P1906S3;P1906S4;P1906S5;P1906S6;P1906S7;P1906S8;P6160;P6170;P3041;P3042;P3042S1;P3042S2;P3043;P3043S1;P3038;P3039;POB_MAY18
20250626;06;2025;8238974;1;1;1;10;;2;67.484133382;08;1;1;2;66;9;1958;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;3;4;4;4;4;4;1;2;;5;2;;2;;1;2;1
20250626;06;2025;8238974;1;2;1;10;;2;67.484133382;08;1;2;1;32;6;1993;3;1;1;2;;1;;1;6;;;6;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;1;;1;;2;1;1
20250626;06;2025;8238975;1;1;1;10;;2;54.337977713;08;1;1;1;76;1;1949;1;3;;3;;1;;1;6;;;5;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;3;;;;2;1;1
20250626;06;2025;8238975;1;2;1;10;;2;54.337977713;08;1;2;1;49;11;1975;9;3;;3;;1;;1;6;;;2;1;3;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20250626;06;2025;8238975;1;3;1;10;;2;54.337977713;08;1;3;2;52;10;1972;13;2;;2;;1;;1;6;;;2;1;2;1;3;;;4;4;4;4;4;4;4;4;2;2;;1;0;;;;1;2;1
20250626;06;2025;8238976;1;1;1;10;;2;58.103780292;08;1;1;1;68;12;1956;1;3;;3;;1;;1;6;;;5;;;1;3;;;2;4;3;4;4;4;4;4;2;2;;1;0;;;;2;1;1
20250626;06;2025;8238977;1;1;1;10;;2;58.103780292;08;1;1;1;63;3;1962;1;3;;3;;1;;1;6;;;4;;;1;3;;;4;4;4;4;4;4;4;4;1;2;;5;2;;2;;2;1;1
20250626;06;2025;8238978;1;1;1;10;;2;46.600283709;08;1;1;1;72;8;1952;1;3;;3;;1;;1;6;;;2;1;2;1;3;;;4;4;3;2;2;4;4;4;2;2;;1;0;;;;2;1;1
20250626;06;2025;8238978;1;2;1;10;;2;46.600283709;08;1;2;2;34;;;2;2;;2;;1;;1;6;;;2;1;1;1;3;;;4;4;4;4;4;3;4;2;2;2;;1;0;;;;1;2;1
20250626;06;2025;8238979;1;1;1;10;;2;58.103780292;08;1;1;1;58;12;1966;1;3;;3;;1;;1;6;;;2;2;;1;3;;;4;4;4;4;4;4;4;4;1;2;;3;5;;;;2;1;1
